id,rating,rd
100,1631.64328676914,236.4918009428629
102,1907.015071754557,186.72928515302527
103,1056.8924386043027,204.2843458207685
106,1364.113571890117,179.54633222897064
107,1378.2501338930404,208.46618412612963
108,1264.660991451899,217.9753752333652
109,1339.338534059052,233.0333941762776
111,1597.4388945425962,205.65372692995976
112,1240.2327524265231,204.8901746549976
114,1788.0037419636506,198.09260558958127
115,1403.1759356411528,230.31587800988063
116,1254.5660949092005,235.46032824365835
118,1348.256381204237,240.77310960167264
119,1478.2558421829265,199.06510802231784
12,1524.8589167715277,175.88563555680273
121,1444.1942128739083,310.58825144257213
122,1592.4559399377074,203.62694783640592
125,1586.3826025617782,293.86140890924025
126,1709.7752024256736,205.33810751508497
127,1579.619138107097,217.7773438499437
128,1851.788104368533,211.9839050597008
129,1417.695176863421,291.83609305125225
130,1271.7767014900592,257.39526680618224
131,1515.9292119647575,217.6611082211301
132,1704.1953057577757,250.9792352653393
133,1753.9843548326014,258.35241746676945
134,1579.6074170453203,241.49799540109564
135,1731.6290289326976,249.92575758418417
136,1653.9930695708022,190.98575410596857
137,1751.7121060792024,245.5848920769192
138,1830.5827105063868,211.8637023039036
139,1377.5728415770443,202.38139836587567
14,1220.0561960331972,240.15072060675297
140,1865.227431003768,204.2341355268082
17,1587.7125239786888,163.8274119419873
2,1647.6856662250266,194.7896737770184
20,1389.9367885614347,220.452201226056
24,1682.8762968474994,200.923063304682
25,1121.1512899067936,252.0392037172176
26,1535.2919930367398,190.3988209415332
27,1768.5186761961522,202.85074219950525
28,1308.5443992478465,188.8057382482484
3,1665.706134877373,204.613111954831
35,1382.3547112498527,200.36131909199304
37,1224.1226114622698,205.31828838942693
38,1896.2064660046776,201.47908356236425
4,1373.295529405416,187.96563686032755
42,1431.9542131090068,233.26041774622715
44,1337.6891050238826,290.3189646747521
45,1367.5959153356628,283.0243056491876
46,1677.819042416229,251.26074038804688
47,1504.5636354585606,224.55021830817697
48,1484.4918499699922,251.26074113013328
49,1391.7418635078825,283.05404923943166
50,1350.581804612892,173.30780020091515
51,1351.4117068453986,250.71609127914908
52,1551.0104566556834,219.8664565862585
53,1377.508383010274,190.3724116469783
6,1644.7681321777984,194.1636428928041
60,1276.6426471963698,220.18933042963133
63,1601.7762028265795,282.2032338068362
64,1196.512550339752,174.73916909753322
65,1753.2706563804695,223.10424215548085
66,1197.933148520298,245.14442362809623
68,1751.975027757478,223.38545029164908
69,1364.938016192038,205.76319198174136
7,1967.497198991772,249.0330215107228
70,1673.3859000005905,197.4021588879551
71,1681.415601303475,255.2260253841617
72,1588.9033260167469,186.3448052273417
73,1886.475128470056,196.9059597664097
74,1643.2482541305312,143.79643759229612
75,1750.9141665256695,248.5191156187487
76,1067.1767113714045,179.67555541009582
81,1522.5571290312314,190.2520917252235
84,714.390153541969,231.21721349439107
85,1190.9727159107942,210.17700225832075
86,1411.5986585745718,250.70097663076268
87,1567.7424032146666,210.8803728932093
88,1165.1348153013018,240.2944907263361
91,1532.2623721691934,200.92042605314583
92,1311.5730212147776,188.28465349940555
94,1531.919033600151,220.55633317642048
96,1732.9836530022726,249.6192158518016
98,1514.37602990528,338.6734341400419
99,1239.2825472123957,241.6349465178188
